めぐる	巡る
ねむる	眠る
やせる	痩せる
ゆるす	許す
とらえる	捕える
こる	凝る
いれる	入れる
われる	割れる
かむ	噛む
かつ	勝つ
おおう	覆う
いく	行く
ける	蹴る
くだる	下る
ほめる	褒める
たく	炊く
おぼえる	覚える
いる	居る
ひらく	開く
いきる	生きる
くう	食う
くらう	食らう
やく	焼く
つかむ	掴む
わく	湧く
ねる	練る
おれる	折れる
さがす	探す
くだす	下す
へる	経る
ならぶ	並ぶ
とう	問う
おりる	下りる
おちる	落ちる
よぶ	呼ぶ
なめる	舐める
える	得る
あきる	飽きる
よむ	読む
おごる	奢る
むす	蒸す
うる	売る
まわす	回す
いただける	頂ける
まわる	廻る
もれる	漏れる
みる	見る
まかせる	任せる
おきる	起きる
しく	敷く
ふむ	踏む
ふえる	増える
さらす	晒す
すてる	捨てる
いう	言う
おもう	思う
つくる	作る
わかる	分かる
まぜる	混ぜる
かかわる	関わる
まじる	混じる
こめる	込める
みせる	見せる
のこる	残る
いかる	怒る
のむ	飲む
すける	透ける
ふとる	太る
こす	越す
つくれる	作れる
こむ	混む
いたる	至る
わける	分ける
こう	乞う
つながる	繋がる
あきらめる	諦める
きる	切る
うける	受ける
あたる	当たる
くわしい	詳しい
のこる	残る
まもる	守る
はげしい	激しい
せく	急く
たのしい	楽しい
ふるい	古い
うまれる	生まれる
ある	ある
おもえる	思える
いただく	頂く
あかい	赤い
まる	丸
ながい	長い
よい	良い
